Dom,Name,Address,Virt/Phy,OSDistro,Role,Department,Loc,Service,Environ,Clus,Contact
kitkat,spartacus03,11.321.138.59,VIRT,ORACLELINUX,APP,Black,NYC,SPOTIFY,PREPROD,0,tvsupport@mail.com
kitkat,gannicus,11.334.87.91,VIRT,RedHat,APP,Ops,LA,KEY,PROD,0,lordknows@mail.com
coffee,crixus01,11.453.453.97,PHY,RedHat,DB,Black,WAS,OFANS,DIS,0,liberals@mail.com
coffee,naevia12heyppp00,11.322.343.211,VIRT,RedHat,APP,Ops,NYC,NETFLIX,PROD,0,democracy@mail.com
coffee,varrosrvappp01,11.276.54.53,VIRT,RedHat,APP,Ops,NYC,CHEF,PROD,0,starwars@mail.com
kitkat,crassus70,11.832.222.101,VIRT,RedHat,APP,Black,LA,ZILLOW,TEST,0,tvsupport@mail.com
mars,capua01gwf0,11.545.54.6,VIRT,RedHat,APP,Black,LA,UBER,DIS,0,galadriel@mail.com
coffee,rome8celadm12,11.767.156.59,PHY,ORACLELINUX,EXX,Ops,TX,META,DIS,0,ironman@mail.com
mars,daxosceplstr1,11.889.67.151,VIRT,RedHat,0,Ops,NYC,APPLE,PROD,0,gunsnroses@mail.com
mars,odinserv99,11.555.777.888,VIRT,Ubuntu,WEB,Viking,NOR,DISNEY,DEV,1,thor@asgardmail.com
kitkat,leonidassrv01,11.999.999.999,PHY,CentOS,DB,Ops,SPARTA,AMAZON,PROD,1,300@mail.com
coffee,rockybalboa1,11.123.456.789,VIRT,RedHat,EXX,Fight,PHI,HBO,DIS,0,eyeofthetiger@mail.com
mars,lagerthagw00,11.444.333.222,VIRT,Fedora,APP,Shield,NOR,HULU,TEST,1,shieldmaiden@mail.com
coffee,ragnar01x,11.567.890.123,PHY,Ubuntu,DB,Viking,NOR,NETFLIX,PROD,1,kingragnar@mail.com
mars,apolloserv,11.112.113.114,VIRT,ORACLELINUX,EXX,Ops,GREECE,DISNEY,DEV,0,apollo@mail.com
kitkat,boba1gwserv,11.223.334.445,PHY,Fedora,APP,StarWars,NYC,SPOTIFY,PREPROD,0,mandalorian@mail.com
coffee,jangoapp00,11.445.556.667,VIRT,CentOS,DB,StarWars,TX,ZILLOW,TEST,1,bountyhunter@mail.com
mars,chewbacca1,11.778.889.990,VIRT,Debian,WEB,Rebel,LA,KEY,DEV,0,wookiee@mail.com
coffee,hansolo9,11.222.111.000,PHY,Ubuntu,EXX,Rebel,WAS,APPLE,DIS,0,blasterking@mail.com
mars,lukesky10,11.333.444.555,VIRT,Fedora,DB,Jedi,NYC,META,PROD,1,theforce@mail.com
coffee,vaderservx,11.666.777.888,PHY,RedHat,APP,Sith,LA,UBER,PREPROD,0,darkside@mail.com
mars,obiwan2023,11.123.789.456,VIRT,Ubuntu,WEB,Jedi,NOR,CHEF,TEST,1,kenobi@mail.com
coffee,palpatine33,11.888.666.555,VIRT,Fedora,EXX,Sith,SPARTA,DISNEY,DEV,1,darkempire@mail.com
kitkat,kylo2024,11.999.123.987,PHY,Debian,APP,Sith,LA,NETFLIX,PROD,0,lighstaber@mail.com
mars,yodahub,11.321.654.987,VIRT,CentOS,WEB,Jedi,TX,HBO,TEST,1,masteryoda@mail.com
coffee,anakin90,11.987.654.321,PHY,RedHat,DB,Sith,WAS,SPOTIFY,PREPROD,0,skywalker@mail.com
kitkat,spock01,11.123.987.654,VIRT,ORACLELINUX,APP,StarTrek,LA,HULU,PROD,0,vulcan@mail.com
mars,kirk99,11.654.321.987,PHY,Fedora,DB,StarTrek,NYC,ZILLOW,DEV,1,enterprise@mail.com
coffee,uhura1,11.432.198.765,VIRT,Ubuntu,EXX,Ops,NOR,APPLE,TEST,0,comms@mail.com
mars,worf01,11.567.876.543,PHY,Debian,WEB,Ops,SPARTA,META,DIS,1,batleth@mail.com
kitkat,data22,11.876.543.210,VIRT,RedHat,APP,Android,TX,KEY,DEV,1,possum@mail.com
